Region,Type,Cluster_Name,Description,S,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,TECH,GAME,UNI
Lowland,Outer City,Professional,"Outer academic/professional zone, flattened to match Lowland Outer Academic/B1 source row (B1=28%, vs Capital's 46%).",0,3,3,30,0,15,16,9,10,6,4,3,1,0,0,0
Lowland,Outer City,Middle_Class,"Outer C1/C2 middle-class belt, broader spread than Capital equivalent.",0,2,2,9,0,25,21,17,4,5,4,7,4,0,0,0
Lowland,Outer City,Average,"D1-anchored but flatter - Lowland Outer Stable Family/D1 source row peaks at 44% vs Capital's varies, with wider secondary spread.",0,3,4,6,0,9,9,22,8,8,8,11,12,0,0,0
Lowland,Outer City,Creative_Rich,"Outer artistic E1-led zone with C/D support.",0,1,5,5,0,9,10,10,6,26,9,13,6,0,0,0
Lowland,Outer City,Creative_Poor,"Outer E2-led creative-fringe poverty zone, E1 crossover boosted per Lowland Outer Grassroots/E2 source row (E1=44%).",0,1,2,3,0,4,4,7,16,13,28,16,6,0,0,0
Lowland,Outer City,Grassroot,"Outer D2/E2 co-dominant working zone.",0,1,1,2,0,4,3,9,26,8,22,16,8,0,0,0
Lowland,Outer City,Deprived,"Outer F1-dominant zone, F2 crossover raised vs Capital.",0,0,1,2,0,4,2,9,6,8,6,44,18,0,0,0
Lowland,Outer City,Estate,"Outer F2-dominant estate zone with heavy F1 tail - Lowland Outer Social Estate/F2 source row hits F1=61%.",0,0,1,1,0,3,2,8,4,6,4,26,45,0,0,0
Lowland,Outer City,University,"Outer campus-anchored UNI zone.",0,5,4,15,0,7,3,6,2,3,0,5,0,0,0,50
Lowland,Rural,Prosperous,"Rural top tier, sharply toned down from Capital - Lowland Rural Prosperous/A1 source row peaks at only 16% (vs Capital's 17-41 range across regions), so no landed-gentry-scale concentration exists here. Only A1/C1/D1/D2/F1 zone-types exist in Rural per Community_matrix.",0,49,0,0,0,20,0,15,8,0,0,8,0,0,0,0
Lowland,Rural,New_Build_Family,"Rural commuter-belt tier, C1-dominant.",0,10,0,0,0,45,0,22,12,0,0,11,0,0,0,0
Lowland,Rural,Mixed_Estate,"Rural estate-worker/mixed tier, D1-dominant.",0,3,0,0,0,15,0,45,25,0,0,12,0,0,0,0
Lowland,Rural,Agricultural,"Rural farm-labour tier, D2-dominant, F1 raised vs Capital reflecting rural hidden poverty pattern in Lowland source rows.",0,1,0,0,0,6,0,18,55,0,0,20,0,0,0,0
Lowland,Rural,Rural_Deprived,"Rural bottom tier - deliberately pushed harder than Capital's equivalent to reflect the East-UK-style rural deprivation pattern: Lowland Rural Deprived/F1 source row already hits F2=47% and F1=32%, well above Capital's F2=32%/F1=32%.",0,0,0,0,0,1,0,6,15,0,0,78,0,0,0,0
Lowland,Suburb,Affluent,"Suburb top tier, toned down - Lowland Suburb Prosperous/A1 source row peaks at only 20% (vs Capital's 20-55 range), so far less concentrated than Capital's Affluent tier. Only A1/B1/C1/C2/E2/F1 zone-types exist in Suburb per Community_matrix (UNI dropped as off-axis specialty, matching Capital convention).",0,40,0,12,0,18,14,0,0,0,10,6,0,0,0,0
Lowland,Suburb,Academic_Professional,"Suburb academic tier, flattened - Lowland Suburb Academic/B1 source row peaks at 28% (vs Capital's 55%).",0,8,0,42,0,22,14,0,0,0,9,5,0,0,0,0
Lowland,Suburb,Middle_Class,"Suburb C1/C2 middle-class tier.",0,4,0,8,0,38,33,0,0,0,11,6,0,0,0,0
Lowland,Suburb,Grassroot,"Suburb E2-dominant trade/self-employment tier.",0,2,0,3,0,13,13,0,0,0,52,17,0,0,0,0
Lowland,Suburb,Deprived,"Suburb bottom tier, F1-dominant.",0,0,0,1,0,6,5,0,0,0,23,65,0,0,0,0
Lowland,Town,Professional,"Town top tier, C1-dominant but flatter than Capital - Lowland Town Professional/C1 source row peaks at 20% (vs Capital's 18). Only B2/C1/C2/D2/F1 zone-types used (E1 Mixed Rural Town dropped as off-axis specialty, matching Capital convention).",0,0,0,0,12,48,22,0,8,0,0,10,0,0,0,0
Lowland,Town,Middle_Class,"Town C2-dominant middle tier.",0,0,0,0,16,22,44,0,9,0,0,9,0,0,0,0
Lowland,Town,Average,"Town balanced/planned tier, B2-anchored, slightly flatter than Capital's Average.",0,0,0,0,38,16,16,0,19,0,0,11,0,0,0,0
Lowland,Town,Working_Class,"Town D2-dominant working tier.",0,0,0,0,13,6,8,0,58,0,0,15,0,0,0,0
Lowland,Town,Deprived,"Town bottom tier, F1-dominant - kept strongly deprived per the East-UK coastal/market-town deprivation pattern (Lowland Town Deprived/F1 source row F1=46%, F2=25%).",0,0,0,0,6,2,3,0,19,0,0,70,0,0,0,0
